country,year,mean_temp_c
Germany,1960,8.458074569702148
Germany,1961,8.984342575073242
Germany,1962,7.202663421630859
Germany,1963,7.179477691650391
Germany,1964,8.160954475402832
Germany,1965,7.563234329223633
Germany,1966,8.552465438842773
Germany,1967,8.958012580871582
Germany,1968,8.185286521911621
Germany,1969,7.834738254547119
Germany,1970,7.783876895904541
Germany,1971,8.507258415222168
Germany,1972,7.848790168762207
Germany,1973,8.28771686553955
Germany,1974,8.884174346923828
Germany,1975,9.003643989562988
Germany,1976,8.51477336883545
Germany,1977,8.725153923034668
Germany,1978,7.869850158691406
Germany,1979,7.7835235595703125
Germany,1980,7.6627631187438965
Germany,1981,8.258932113647461
Germany,1982,8.965778350830078
Germany,1983,9.143308639526367
Germany,1984,8.026615142822266
Germany,1985,7.5170488357543945
Germany,1986,8.038275718688965
Germany,1987,7.489020824432373
Germany,1988,9.119485855102539
Germany,1989,9.543025016784668
Germany,1990,9.539239883422852
Germany,1991,8.478835105895996
Germany,1992,9.409149169921875
Germany,1993,8.540338516235352
Germany,1994,9.786092758178711
Germany,1995,8.949259757995605
Germany,1996,7.239213943481445
Germany,1997,8.938765525817871
Germany,1998,9.120063781738281
Germany,1999,9.5895414352417
Germany,2000,9.918074607849121
Germany,2001,9.10903549194336
Germany,2002,9.602755546569824
Germany,2003,9.474080085754395
Germany,2004,8.99760913848877
Germany,2005,9.102313995361328
Germany,2006,9.658896446228027
Germany,2007,9.931413650512695
Germany,2008,9.533041954040527
Germany,2009,9.254064559936523
Germany,2010,7.91837739944458
Germany,2011,9.722917556762695
Germany,2012,9.166769027709961
Germany,2013,8.807269096374512
Germany,2014,10.396149635314941
Germany,2015,10.03805923461914
Germany,2016,9.598600387573242
Germany,2017,9.655606269836426
Germany,2018,10.561532974243164
Germany,2019,10.339151382446289
Germany,2020,10.47060775756836
Germany,2021,9.222660064697266
Germany,2022,10.583032608032227
Germany,2023,10.693532943725586
Germany,2024,10.925118446350098
Greece,1950,14.673645973205566
Greece,1951,14.450325965881348
Greece,1952,14.934727668762207
Greece,1953,13.479619026184082
Greece,1954,13.785831451416016
Greece,1955,14.522557258605957
Greece,1956,13.349859237670898
Greece,1957,13.919281959533691
Greece,1958,14.082915306091309
Greece,1959,13.040496826171875
Greece,1960,14.284379959106445
Greece,1961,14.335978507995605
Greece,1962,14.446847915649414
Greece,1963,14.326460838317871
Greece,1964,13.30237102508545
Greece,1965,13.212851524353027
Greece,1966,14.181511878967285
Greece,1967,13.216684341430664
Greece,1968,13.370216369628906
Greece,1969,13.537775993347168
Greece,1970,13.51624870300293
Greece,1971,13.343696594238281
Greece,1972,13.394899368286133
Greece,1973,13.076979637145996
Greece,1974,13.075901985168457
Greece,1975,13.124382972717285
Greece,1976,12.51980209350586
Greece,1977,13.841949462890625
Greece,1978,13.190838813781738
Greece,1979,13.539224624633789
Greece,1980,12.837244987487793
Greece,1981,13.230399131774902
Greece,1982,13.062582015991211
Greece,1983,12.868589401245117
Greece,1984,13.156352996826172
Greece,1985,13.586771965026855
Greece,1986,13.35270881652832
Greece,1987,13.108175277709961
Greece,1988,13.361340522766113
Greece,1989,13.154815673828125
Greece,1990,13.70642375946045
Greece,1991,12.53551197052002
Greece,1992,12.975196838378906
Greece,1993,13.325946807861328
Greece,1994,14.352648735046387
Greece,1995,13.307676315307617
Greece,1996,13.0814790725708
Greece,1997,13.049099922180176
Greece,1998,13.974579811096191
Greece,1999,14.193313598632812
Greece,2000,13.754940032958984
Greece,2001,14.26465892791748
Greece,2002,13.887077331542969
Greece,2003,13.982149124145508
Greece,2004,13.810707092285156
Greece,2005,13.445484161376953
Greece,2006,13.450377464294434
Greece,2007,14.2750244140625
Greece,2008,14.178133010864258
Greece,2009,14.106793403625488
Greece,2010,14.52387523651123
Greece,2011,13.462861061096191
Greece,2012,14.171296119689941
Greece,2013,14.374884605407715
Greece,2014,14.186867713928223
Greece,2015,13.92040729522705
Greece,2016,14.280055046081543
Greece,2017,13.934941291809082
Greece,2018,14.591617584228516
Greece,2019,14.467923164367676
Greece,2020,14.223000526428223
Greece,2021,14.251899719238281
Greece,2022,14.31253433227539
Greece,2023,14.781848907470703
Greece,2024,15.667914390563965
Hungary,1950,11.16169548034668
Hungary,1951,11.358394622802734
Hungary,1952,10.514836311340332
Hungary,1953,10.410770416259766
Hungary,1954,9.367951393127441
Hungary,1955,9.765531539916992
Hungary,1956,8.902493476867676
Hungary,1957,10.370562553405762
Hungary,1958,10.446090698242188
Hungary,1959,10.395988464355469
Hungary,1960,10.367226600646973
Hungary,1961,10.849316596984863
Hungary,1962,9.520159721374512
Hungary,1963,9.523870468139648
Hungary,1964,9.459656715393066
Hungary,1965,9.194231986999512
Hungary,1966,10.62366008758545
Hungary,1967,10.486226081848145
Hungary,1968,10.339603424072266
Hungary,1969,9.6945219039917
Hungary,1970,9.777260780334473
Hungary,1971,10.153864860534668
Hungary,1972,10.264595985412598
Hungary,1973,9.988078117370605
Hungary,1974,10.601478576660156
Hungary,1975,10.715298652648926
Hungary,1976,9.848867416381836
Hungary,1977,10.348725318908691
Hungary,1978,9.311532974243164
Hungary,1979,10.39299201965332
Hungary,1980,8.944448471069336
Hungary,1981,10.276687622070312
Hungary,1982,10.353837013244629
Hungary,1983,10.831864356994629
Hungary,1984,9.84057331085205
Hungary,1985,9.247758865356445
Hungary,1986,10.029709815979004
Hungary,1987,9.656885147094727
Hungary,1988,10.287489891052246
Hungary,1989,10.79462718963623
